x y
320.0658400319195 282.7199663229791
1297.280075793918 802.1745949127468
305.3863905144973 285.2790587667763
1308.6430223422515 807.9135892705806
1379.2208646572233 1496.428746255527
1385.1129013402044 1486.5699523356036
204.42853530412833 999.3189357941941
1423.1872817028177 1499.664710859306
204.7537366024181 989.1627547255553
1410.7544814264204 1503.0512823666386
293.33609582702763 298.1538855523327
1283.3737818868083 817.412865046984
310.01595420559886 309.1386416256263
300.60735894422453 307.2323614571431
1386.5239066935299 1495.0139484855467
1393.603744100403 1500.4056960200319
202.3110898086052 1011.0181559403507
310.2649240303819 311.9798108339146
214.79820663415188 1004.8594231709611
1303.7837526383719 803.6372559880406
298.6129004152124 308.8436128015906
212.55548115437307 1007.7123990616449
1396.6532776775334 1509.499520935777
1306.5312567282544 805.6369298120591
283.9901787277434 288.9992604929376
1403.1232589311865 1511.9959851318945
198.5997759786885 995.4466961334616
1305.5830680937024 794.1945664986849
1394.1634978370976 1504.8326491955836
190.5910144136755 991.9760032588802
197.8666028227868 995.1116027757854
1307.2440920173265 792.654457651247
208.56557785736047 1002.7365274684485
293.09457594814654 282.18916100280506
1305.2386571663853 791.8880739063384
1286.112023390263 807.7946816210602
1292.025615789651 795.0408727688372
1411.4687444998428 1502.545905715269
221.12184062323038 1015.3154164930445
309.15069998344967 304.04646424143056
